OBJECT_NAME	OBJECT_ID	NA	OBJECT_TYPE	OPS_STATUS_CODE	OWNER
DELTA 1 DEB	1975052KQ	75052KQ	DEB	NA	US
DELTA 1 DEB	1975052KR	75052KR	DEB	NA	US
DELTA 1 DEB	1975052KS	75052KS	DEB	NA	US
DELTA 1 DEB	1975052KT	75052KT	DEB	NA	US
DELTA 1 DEB	1975052KU	75052KU	DEB	NA	US
DELTA 1 DEB	1975052KV	75052KV	DEB	NA	US
DELTA 1 DEB	1975052KW	75052KW	DEB	NA	US
DELTA 1 DEB	1975052KX	75052KX	DEB	NA	US
DELTA 1 DEB	1975052KY	75052KY	DEB	NA	US
DELTA 1 DEB	1975052KZ	75052KZ	DEB	NA	US
DELTA 1 DEB	1975052LA	75052LA	DEB	NA	US
DELTA 1 DEB	1975052LB	75052LB	DEB	NA	US
SL-3 DEB	1975124C	75124C	DEB	NA	CIS
SL-12 DEB	1985118AC	85118AC	DEB	NA	CIS
ARIANE 42P+ DEB	1992072K	92072K	DEB	NA	FR
DELTA 2 DEB	1992058E	92058E	DEB	NA	US
DELTA 2 DEB	1992079D	92079D	DEB	D	US
ASTRA 2C	2001025A	01025A	PAY	+	SES
SL-12 R/B(1)	2001025B	01025B	R/B	D	CIS
SL-12 R/B(2)	2001025C	01025C	R/B	NA	CIS
SL-12 PLAT	2001025D	01025D	DEB	D	CIS
ICO F2	2001026A	01026A	PAY	P	NICO
ATLAS 2AS CENTAUR R/B	2001026B	01026B	R/B	NA	US
WMAP (MAP)	2001027A	01027A	PAY	-	US
DELTA 2 R/B	2001027B	01027B	R/B	D	US
DELTA 1 DEB	1978026HV	78026HV	DEB	NA	US
STS 104	2001028A	01028A	PAY	D	US
ARTEMIS	2001029A	01029A	PAY	-	ESA
BSAT-2B	2001029B	01029B	PAY	D	JPN
ARIANE 5 R/B	2001029C	01029C	R/B	D	FR
ARIANE 5 DEB [SYLDA]	2001029D	01029D	DEB	D	FR
MOLNIYA 3-51	2001030A	01030A	PAY	D	CIS
SL-6 R/B(1)	2001030B	01030B	R/B	D	CIS
SL-6 PLAT	2001030C	01030C	DEB	D	CIS
SL-6 R/B(2)	2001030D	01030D	R/B	D	CIS
GOES 12	2001031A	01031A	PAY	-	US
ATLAS 2A CENTAUR R/B	2001031B	01031B	R/B	D	US
CORONAS F	2001032A	01032A	PAY	D	CIS
SL-14 R/B	2001032B	01032B	R/B	D	CIS
SL-14 DEB	2001032C	01032C	DEB	D	CIS
SL-14 DEB	2001032D	01032D	DEB	D	CIS
SL-14 DEB	2001032E	01032E	DEB	D	CIS
SL-14 DEB	2001032F	01032F	DEB	D	CIS
SL-6 DEB	2001030E	01030E	DEB	D	CIS
USA 159 (DSP 21)	2001033A	01033A	PAY	+	US
TITAN 4B R/B	2001033B	01033B	R/B	D	US
IUS R/B(1)	2001033C	01033C	R/B	NA	US
IUS R/B(2)	2001033D	01033D	R/B	NA	US
GENESIS	2001034A	01034A	PAY	-	US
DELTA 2 R/B(1)	2001034B	01034B	R/B	D	US
DELTA 2 R/B(2)	2001034C	01034C	R/B	NA	US
USA 159 DEB	2001033E	01033E	DEB	NA	US
STS 105	2001035A	01035A	PAY	D	US
SIMPLESAT 1	2001035B	01035B	PAY	D	US
PROGRESS-M 45	2001036A	01036A	PAY	D	CIS
SL-4 R/B	2001036B	01036B	R/B	D	CIS
COSMOS 2379	2001037A	01037A	PAY	-	CIS
SL-12 R/B(1)	2001037B	01037B	R/B	D	CIS
SL-12 PLAT	2001037C	01037C	DEB	D	CIS
SL-12 R/B(2)	2001037D	01037D	R/B	NA	CIS
SL-12 R/B(AUX MOTOR)	2001037E	01037E	R/B	D	CIS
SL-12 R/B(AUX MOTOR)	2001037F	01037F	R/B	D	CIS
LRE	2001038A	01038A	PAY	NA	JPN
H-2A R/B	2001038B	01038B	R/B	NA	JPN
INTELSAT 902 (IS-902)	2001039A	01039A	PAY	+	ITSO
ARIANE 44L R/B	2001039B	01039B	R/B	NA	FR
SL-12 DEB	2001037G	01037G	DEB	D	CIS
SL-12 DEB	2001037H	01037H	DEB	D	CIS
PICOSAT 7 & 8 [TETHERED]	2000042C	00042C	PAY	D	US
USA 160	2001040A	01040A	PAY	-	US
ATLAS 2AS CENTAUR R/B	2001040B	01040B	R/B	NA	US
USA 160 DEB	2001040C	01040C	DEB	NA	US
PROGRESS-DC 1	2001041A	01041A	PAY	D	CIS
SL-4 R/B	2001041B	01041B	R/B	D	CIS
TITAN 3C TRANSTAGE DEB	1965082UR	65082UR	DEB	D	US
COSMOS 1249 COOLANT	1981021Q	81021Q	DEB	NA	CIS
TRANSIT 5B-6 DEB	1965048Q	65048Q	DEB	D	US
TITAN 3C TRANSTAGE DEB	1965082US	65082US	DEB	D	US
ARIANE 1 DEB	1985056N	85056N	DEB	D	FR
COSMOS 1030 DEB	1978083H	78083H	DEB	D	CIS
ATLAS 75E DEB	1983072D	83072D	DEB	D	US
COSMOS 1188 DEB	1980050H	80050H	DEB	NA	CIS
COSMOS 1217 DEB	1980085G	80085G	DEB	NA	CIS
COSMOS 1217 DEB	1980085H	80085H	DEB	NA	CIS
COSMOS 1484 DEB	1983075BF	83075BF	DEB	D	CIS
ATLAS 55E DEB	1985093C	85093C	DEB	NA	US
ARIANE 1 DEB	1984023H	84023H	DEB	NA	ESA
SCOUT G-1 DEB	1987080J	87080J	DEB	D	US
ARIANE 1 DEB	1984023J	84023J	DEB	NA	ESA
ARIANE 40 DEB	1991050G	91050G	DEB	D	FR
ATLAS 14E DEB	1984097C	84097C	DEB	D	US
EUTELSAT 12 WEST B	2001042A	01042A	PAY	-	EUTE
ARIANE 44P R/B	2001042B	01042B	R/B	D	FR
STARSHINE 3 & SO-43	2001043A	01043A	PAY	D	US
PICOSAT 9	2001043B	01043B	PAY	NA	US
PCSAT (NO-44)	2001043C	01043C	PAY	P	US
SAPPHIRE (NO-45)	2001043D	01043D	PAY	-	US
ATHENA 1 R/B(OAM)	2001043E	01043E	R/B	D	US
USA 161	2001044A	01044A	PAY	-	US
TITAN 4 R/B	2001044B	01044B	R/B	D	US
RADUGA-1 6	2001045A	01045A	PAY	-	CIS
SL-12 R/B(1)	2001045B	01045B	R/B	D	CIS
SL-12 PLAT	2001045C	01045C	DEB	D	CIS
SL-12 R/B(2)	2001045D	01045D	R/B	NA	CIS
SL-12 R/B(AUX MOTOR)	2001045E	01045E	R/B	D	CIS
SL-12 R/B(AUX MOTOR)	2001045F	01045F	R/B	D	CIS
SL-12 DEB	2001045G	01045G	DEB	D	CIS
ISS DEB	1998067F	98067F	DEB	D	ISS
ISS DEB	1998067G	98067G	DEB	D	ISS
ISS DEB	1998067H	98067H	DEB	D	ISS
ISS DEB	1998067J	98067J	DEB	D	ISS
SL-12 DEB	2001045H	01045H	DEB	D	CIS
USA 162	2001046A	01046A	PAY	-	US
ATLAS 2AS CENTAUR R/B	2001046B	01046B	R/B	NA	US
ISS DEB	1998067K	98067K	DEB	D	ISS
ISS DEB	1998067L	98067L	DEB	D	ISS
ISS DEB	1998067M	98067M	DEB	D	ISS
QUICKBIRD 2	2001047A	01047A	PAY	D	US
DELTA 2 R/B	2001047B	01047B	R/B	D	US
SOYUZ-TM 33	2001048A	01048A	PAY	D	CIS
SL-4 R/B	2001048B	01048B	R/B	D	CIS
TES	2001049A	01049A	PAY	-	IND
PROBA-1	2001049B	01049B	PAY	+	ESA
BIRD 2	2001049C	01049C	PAY	+	GER
PSLV R/B	2001049D	01049D	R/B	NA	IND
COSMOS 41 DEB	1964049Q	64049Q	DEB	D	CIS
NIMBUS 2 DEB	1966040M	66040M	DEB	NA	US
SEASAT 1 DEB	1978064K	78064K	DEB	D	US
COSMOS 917 DEB	1977047E	77047E	DEB	NA	CIS
DELTA 2 DEB	1996041D	96041D	DEB	D	US
SL-16 DEB	1994077L	94077L	DEB	D	CIS
DELTA 2 DEB	1993017E	93017E	DEB	NA	US
SL-16 DEB	1993016AJ	93016AJ	DEB	NA	CIS
DELTA 2 DEB	1993007D	93007D	DEB	D	US
MOLNIYA 3-52	2001050A	01050A	PAY	D	CIS
SL-6 R/B(1)	2001050B	01050B	R/B	D	CIS
SL-6 PLAT	2001050C	01050C	DEB	D	CIS
SL-6 R/B(2)	2001050D	01050D	R/B	D	CIS
COSMOS 1024 DEB	1978066E	78066E	DEB	NA	CIS
COSMOS 1024 DEB	1978066F	78066F	DEB	NA	CIS
COSMOS 1109 DEB	1979058M	79058M	DEB	D	CIS
COSMOS 1191 DEB	1980057H	80057H	DEB	NA	CIS
COSMOS 1191 DEB	1980057J	80057J	DEB	NA	CIS
SL-16 DEB	1992093JJ	92093JJ	DEB	D	CIS
SL-16 DEB	1992093JK	92093JK	DEB	NA	CIS
ARIANE 42P+ DEB	1992072L	92072L	DEB	NA	FR
COSMOS 1823 DEB	1987020DU	87020DU	DEB	NA	CIS
PROGRESS-M1 7	2001051A	01051A	PAY	D	CIS
SL-4 R/B	2001051B	01051B	R/B	D	CIS
DIRECTV 4S	2001052A	01052A	PAY	-	US
ARIANE 44LP R/B	2001052B	01052B	R/B	D	FR
COSMOS 2382 [GLONASS-M]	2001053A	01053A	PAY	-	CIS
COSMOS 2381 [GLONASS]	2001053B	01053B	PAY	-	CIS
COSMOS 2380 [GLONASS]	2001053C	01053C	PAY	-	CIS
SL-12 R/B(1)	2001053D	01053D	R/B	D	CIS
SL-12 PLAT	2001053E	01053E	DEB	D	CIS
SL-12 R/B(2)	2001053F	01053F	R/B	NA	CIS
SL-12 R/B(AUX MOTOR)	2001053G	01053G	R/B	D	CIS
SL-12 R/B(AUX MOTOR)	2001053H	01053H	R/B	D	CIS
STS 108	2001054A	01054A	PAY	D	US
STARSHINE 2	2001054B	01054B	PAY	D	US
JASON-1	2001055A	01055A	PAY	-	US
TIMED	2001055B	01055B	PAY	+	US
DELTA 2 R/B	2001055C	01055C	R/B	D	US
DELTA 2 DEB [DPAF]	2001055D	01055D	DEB	NA	US
METEOR-3M	2001056A	01056A	PAY	NA	CIS
KOMPASS	2001056B	01056B	PAY	NA	CIS
BADR-B	2001056C	01056C	PAY	-	PAKI
MAROC-TUBSAT	2001056D	01056D	PAY	+	GER
REFLECTOR	2001056E	01056E	PAY	NA	CIS
SL-16 R/B	2001056F	01056F	R/B	NA	CIS
SL-16 DEB	2001056G	01056G	DEB	NA	CIS
CZ-4B DEB	1999057MH	99057MH	DEB	D	PRC
COSMOS 2367 DEB	1999072C	99072C	DEB	D	CIS
COSMOS 2367 DEB	1999072D	99072D	DEB	D	CIS
COSMOS 2367 DEB	1999072E	99072E	DEB	D	CIS
COSMOS 2367 DEB	1999072F	99072F	DEB	D	CIS
COSMOS 2367 DEB	1999072G	99072G	DEB	D	CIS
COSMOS 2367 DEB	1999072H	99072H	DEB	D	CIS
COSMOS 2367 DEB	1999072J	99072J	DEB	D	CIS
COSMOS 2367 DEB	1999072K	99072K	DEB	D	CIS
COSMOS 2367 DEB	1999072L	99072L	DEB	D	CIS
COSMOS 2367 DEB	1999072M	99072M	DEB	D	CIS
COSMOS 2367 DEB	1999072N	99072N	DEB	D	CIS
COSMOS 2367 DEB	1999072P	99072P	DEB	D	CIS
COSMOS 2367 DEB	1999072Q	99072Q	DEB	D	CIS
COSMOS 2367 DEB	1999072R	99072R	DEB	D	CIS
COSMOS 2367 DEB	1999072S	99072S	DEB	D	CIS
COSMOS 2367 DEB	1999072T	99072T	DEB	D	CIS
ARIANE 3 DEB	1986026J	86026J	DEB	NA	FR
ARIANE 3 DEB	1988081J	88081J	DEB	NA	FR
ARIANE 3 DEB	1988081K	88081K	DEB	NA	FR
ARIANE 2 DEB	1989006H	89006H	DEB	NA	FR
ARIANE 2 DEB	1989006J	89006J	DEB	NA	FR
ARIANE 2 DEB	1989006K	89006K	DEB	NA	FR
ARIANE 2 DEB	1989006L	89006L	DEB	NA	FR
ARIANE 2 DEB	1989006M	89006M	DEB	NA	FR
ARIANE 2 DEB	1989006N	89006N	DEB	NA	FR
ARIANE 2 DEB	1989006P	89006P	DEB	NA	FR
ARIANE 2 DEB	1989006Q	89006Q	DEB	NA	FR
ARIANE 2 DEB	1989006R	89006R	DEB	NA	FR
ARIANE 2 DEB	1989006S	89006S	DEB	NA	FR
ARIANE 2 DEB	1989006T	89006T	DEB	NA	FR
ARIANE 2 DEB	1989006U	89006U	DEB	NA	FR
ARIANE 2 DEB	1989006V	89006V	DEB	NA	FR
ARIANE 2 DEB	1989006W	89006W	DEB	NA	FR
ARIANE 2 DEB	1989006X	89006X	DEB	NA	FR
ARIANE 2 DEB	1989006Y	89006Y	DEB	NA	FR
ARIANE 2 DEB	1989006Z	89006Z	DEB	NA	FR
ARIANE 2 DEB	1989006AA	89006AA	DEB	NA	FR
ARIANE 2 DEB	1989006AB	89006AB	DEB	NA	FR
ARIANE 44LP DEB	1989062K	89062K	DEB	NA	FR
ARIANE 44LP DEB	1989062L	89062L	DEB	NA	FR
ARIANE 44LP DEB	1989062M	89062M	DEB	NA	FR
ARIANE 44LP DEB	1989062N	89062N	DEB	D	FR
CRRES DEB [CANISTER]	1990065U	90065U	DEB	NA	US
CRRES DEB [CANISTER]	1990065V	90065V	DEB	NA	US
COSMOS 2383	2001057A	01057A	PAY	D	CIS
SL-11 R/B	2001057B	01057B	R/B	D	CIS
COSMOS 2384	2001058A	01058A	PAY	-	CIS
COSMOS 2385	2001058B	01058B	PAY	+	CIS
COSMOS 2386	2001058C	01058C	PAY	+	CIS
GONETS-D1 7	2001058D	01058D	PAY	-	CIS
GONETS-D1 8	2001058E	01058E	PAY	-	CIS
GONETS-D1 9	2001058F	01058F	PAY	-	CIS
SL-14 R/B	2001058G	01058G	R/B	NA	CIS
PSLV DEB	2001049E	01049E	DEB	D	IND
PSLV DEB	2001049F	01049F	DEB	D	IND
PSLV DEB	2001049G	01049G	DEB	D	IND
PSLV DEB	2001049H	01049H	DEB	D	IND
PSLV DEB	2001049J	01049J	DEB	D	IND
PSLV DEB	2001049K	01049K	DEB	D	IND
PSLV DEB	2001049L	01049L	DEB	D	IND
PSLV DEB	2001049M	01049M	DEB	D	IND
PSLV DEB	2001049N	01049N	DEB	D	IND
PSLV DEB	2001049P	01049P	DEB	D	IND
PSLV DEB	2001049Q	01049Q	DEB	D	IND
PSLV DEB	2001049R	01049R	DEB	D	IND
PSLV DEB	2001049S	01049S	DEB	D	IND
PSLV DEB	2001049T	01049T	DEB	D	IND
PSLV DEB	2001049U	01049U	DEB	D	IND
PSLV DEB	2001049V	01049V	DEB	D	IND
PSLV DEB	2001049W	01049W	DEB	D	IND
PSLV DEB	2001049X	01049X	DEB	D	IND
PSLV DEB	2001049Y	01049Y	DEB	D	IND
PSLV DEB	2001049Z	01049Z	DEB	D	IND
PSLV DEB	2001049AA	01049AA	DEB	D	IND
PSLV DEB	2001049AB	01049AB	DEB	D	IND
PSLV DEB	2001049AC	01049AC	DEB	D	IND
PSLV DEB	2001049AD	01049AD	DEB	D	IND
PSLV DEB	2001049AE	01049AE	DEB	D	IND
PSLV DEB	2001049AF	01049AF	DEB	D	IND
PSLV DEB	2001049AG	01049AG	DEB	D	IND
PSLV DEB	2001049AH	01049AH	DEB	NA	IND
PSLV DEB	2001049AJ	01049AJ	DEB	D	IND
PSLV DEB	2001049AK	01049AK	DEB	D	IND
PSLV DEB	2001049AL	01049AL	DEB	D	IND
PSLV DEB	2001049AM	01049AM	DEB	D	IND
PSLV DEB	2001049AN	01049AN	DEB	D	IND
PSLV DEB	2001049AP	01049AP	DEB	D	IND
PSLV DEB	2001049AQ	01049AQ	DEB	D	IND
PSLV DEB	2001049AR	01049AR	DEB	NA	IND
PSLV DEB	2001049AS	01049AS	DEB	D	IND
PSLV DEB	2001049AT	01049AT	DEB	D	IND
PSLV DEB	2001049AU	01049AU	DEB	D	IND
PSLV DEB	2001049AV	01049AV	DEB	D	IND
PSLV DEB	2001049AW	01049AW	DEB	D	IND
PSLV DEB	2001049AX	01049AX	DEB	D	IND
PSLV DEB	2001049AY	01049AY	DEB	D	IND
PSLV DEB	2001049AZ	01049AZ	DEB	D	IND
PSLV DEB	2001049BA	01049BA	DEB	D	IND
PSLV DEB	2001049BB	01049BB	DEB	D	IND
PSLV DEB	2001049BC	01049BC	DEB	D	IND
PSLV DEB	2001049BD	01049BD	DEB	D	IND
PSLV DEB	2001049BE	01049BE	DEB	D	IND
PSLV DEB	2001049BF	01049BF	DEB	D	IND
PSLV DEB	2001049BG	01049BG	DEB	D	IND
PSLV DEB	2001049BH	01049BH	DEB	D	IND
PSLV DEB	2001049BJ	01049BJ	DEB	D	IND
PSLV DEB	2001049BK	01049BK	DEB	D	IND
PSLV DEB	2001049BL	01049BL	DEB	D	IND
PSLV DEB	2001049BM	01049BM	DEB	D	IND
PSLV DEB	2001049BN	01049BN	DEB	D	IND
PSLV DEB	2001049BP	01049BP	DEB	NA	IND
PSLV DEB	2001049BQ	01049BQ	DEB	D	IND
PSLV DEB	2001049BR	01049BR	DEB	NA	IND
PSLV DEB	2001049BS	01049BS	DEB	D	IND
PSLV DEB	2001049BT	01049BT	DEB	NA	IND
PSLV DEB	2001049BU	01049BU	DEB	NA	IND
PSLV DEB	2001049BV	01049BV	DEB	D	IND
PSLV DEB	2001049BW	01049BW	DEB	NA	IND
PSLV DEB	2001049BX	01049BX	DEB	NA	IND
PSLV DEB	2001049BY	01049BY	DEB	NA	IND
PSLV DEB	2001049BZ	01049BZ	DEB	NA	IND
PSLV DEB	2001049CA	01049CA	DEB	NA	IND
PSLV DEB	2001049CB	01049CB	DEB	D	IND
PSLV DEB	2001049CC	01049CC	DEB	NA	IND
PSLV DEB	2001049CD	01049CD	DEB	NA	IND
PSLV DEB	2001049CE	01049CE	DEB	D	IND
PSLV DEB	2001049CF	01049CF	DEB	D	IND
PSLV DEB	2001049CG	01049CG	DEB	NA	IND
PSLV DEB	2001049CH	01049CH	DEB	D	IND
PSLV DEB	2001049CJ	01049CJ	DEB	D	IND
PSLV DEB	2001049CK	01049CK	DEB	D	IND
PSLV DEB	2001049CL	01049CL	DEB	D	IND
PSLV DEB	2001049CM	01049CM	DEB	NA	IND
PSLV DEB	2001049CN	01049CN	DEB	NA	IND
PSLV DEB	2001049CP	01049CP	DEB	D	IND
PSLV DEB	2001049CQ	01049CQ	DEB	D	IND
PSLV DEB	2001049CR	01049CR	DEB	D	IND
PSLV DEB	2001049CS	01049CS	DEB	NA	IND
PSLV DEB	2001049CT	01049CT	DEB	NA	IND
PSLV DEB	2001049CU	01049CU	DEB	D	IND
PSLV DEB	2001049CV	01049CV	DEB	D	IND
PSLV DEB	2001049CW	01049CW	DEB	NA	IND
PSLV DEB	2001049CX	01049CX	DEB	NA	IND
PSLV DEB	2001049CY	01049CY	DEB	NA	IND
PSLV DEB	2001049CZ	01049CZ	DEB	NA	IND
PSLV DEB	2001049DA	01049DA	DEB	D	IND
PSLV DEB	2001049DB	01049DB	DEB	D	IND
PSLV DEB	2001049DC	01049DC	DEB	D	IND
PSLV DEB	2001049DD	01049DD	DEB	D	IND
PSLV DEB	2001049DE	01049DE	DEB	D	IND
PSLV DEB	2001049DF	01049DF	DEB	D	IND
PSLV DEB	2001049DG	01049DG	DEB	NA	IND
PSLV DEB	2001049DH	01049DH	DEB	D	IND
PSLV DEB	2001049DJ	01049DJ	DEB	D	IND
PSLV DEB	2001049DK	01049DK	DEB	D	IND
PSLV DEB	2001049DL	01049DL	DEB	D	IND
PSLV DEB	2001049DM	01049DM	DEB	D	IND
ISS DEB	1998067N	98067N	DEB	D	ISS
ISS DEB	1998067P	98067P	DEB	D	ISS
USA 164 (MILSTAR-2 3)	2002001A	02001A	PAY	+	US
TITAN 4 CENTAUR R/B	2002001B	02001B	R/B	NA	US
PSLV DEB	2001049DN	01049DN	DEB	D	IND
PSLV DEB	2001049DP	01049DP	DEB	D	IND
PSLV DEB	2001049DQ	01049DQ	DEB	D	IND
PSLV DEB	2001049DR	01049DR	DEB	D	IND
PSLV DEB	2001049DS	01049DS	DEB	D	IND
PSLV DEB	2001049DT	01049DT	DEB	D	IND
PSLV DEB	2001049DU	01049DU	DEB	D	IND
PSLV DEB	2001049DV	01049DV	DEB	D	IND
PSLV DEB	2001049DW	01049DW	DEB	D	IND
PSLV DEB	2001049DX	01049DX	DEB	D	IND
PSLV DEB	2001049DY	01049DY	DEB	D	IND
PSLV DEB	2001049DZ	01049DZ	DEB	D	IND
PSLV DEB	2001049EA	01049EA	DEB	D	IND
PSLV DEB	2001049EB	01049EB	DEB	D	IND
PSLV DEB	2001049EC	01049EC	DEB	D	IND
PSLV DEB	2001049ED	01049ED	DEB	D	IND
PSLV DEB	2001049EE	01049EE	DEB	D	IND
PSLV DEB	2001049EF	01049EF	DEB	D	IND
PSLV DEB	2001049EG	01049EG	DEB	D	IND
PSLV DEB	2001049EH	01049EH	DEB	D	IND
PSLV DEB	2001049EJ	01049EJ	DEB	D	IND
PSLV DEB	2001049EK	01049EK	DEB	D	IND
PSLV DEB	2001049EL	01049EL	DEB	D	IND
PSLV DEB	2001049EM	01049EM	DEB	D	IND
PSLV DEB	2001049EN	01049EN	DEB	D	IND
PSLV DEB	2001049EP	01049EP	DEB	D	IND
PSLV DEB	2001049EQ	01049EQ	DEB	D	IND
PSLV DEB	2001049ER	01049ER	DEB	D	IND
PSLV DEB	2001049ES	01049ES	DEB	D	IND
PSLV DEB	2001049ET	01049ET	DEB	D	IND
PSLV DEB	2001049EU	01049EU	DEB	D	IND
PSLV DEB	2001049EV	01049EV	DEB	D	IND
PSLV DEB	2001049EW	01049EW	DEB	D	IND
PSLV DEB	2001049EX	01049EX	DEB	D	IND
PSLV DEB	2001049EY	01049EY	DEB	D	IND
PSLV DEB	2001049EZ	01049EZ	DEB	D	IND
PSLV DEB	2001049FA	01049FA	DEB	D	IND
PSLV DEB	2001049FB	01049FB	DEB	D	IND
PSLV DEB	2001049FC	01049FC	DEB	D	IND
PSLV DEB	2001049FD	01049FD	DEB	D	IND
PSLV DEB	2001049FE	01049FE	DEB	D	IND
PSLV DEB	2001049FF	01049FF	DEB	D	IND
PSLV DEB	2001049FG	01049FG	DEB	D	IND
PSLV DEB	2001049FH	01049FH	DEB	D	IND
PSLV DEB	2001049FJ	01049FJ	DEB	D	IND
PSLV DEB	2001049FK	01049FK	DEB	D	IND
PSLV DEB	2001049FL	01049FL	DEB	NA	IND
PSLV DEB	2001049FM	01049FM	DEB	D	IND
PSLV DEB	2001049FN	01049FN	DEB	NA	IND
PSLV DEB	2001049FP	01049FP	DEB	D	IND
PSLV DEB	2001049FQ	01049FQ	DEB	D	IND
PSLV DEB	2001049FR	01049FR	DEB	D	IND
PSLV DEB	2001049FS	01049FS	DEB	D	IND
PSLV DEB	2001049FT	01049FT	DEB	D	IND
PSLV DEB	2001049FU	01049FU	DEB	D	IND
PSLV DEB	2001049FV	01049FV	DEB	D	IND
PSLV DEB	2001049FW	01049FW	DEB	NA	IND
PSLV DEB	2001049FX	01049FX	DEB	D	IND
PSLV DEB	2001049FY	01049FY	DEB	D	IND
PSLV DEB	2001049FZ	01049FZ	DEB	D	IND
PSLV DEB	2001049GA	01049GA	DEB	D	IND
PSLV DEB	2001049GB	01049GB	DEB	D	IND
PSLV DEB	2001049GC	01049GC	DEB	D	IND
PSLV DEB	2001049GD	01049GD	DEB	D	IND
PSLV DEB	2001049GE	01049GE	DEB	D	IND
PSLV DEB	2001049GF	01049GF	DEB	D	IND
PSLV DEB	2001049GG	01049GG	DEB	D	IND
PSLV DEB	2001049GH	01049GH	DEB	D	IND
PSLV DEB	2001049GJ	01049GJ	DEB	D	IND
PSLV DEB	2001049GK	01049GK	DEB	D	IND
PSLV DEB	2001049GL	01049GL	DEB	D	IND
PSLV DEB	2001049GM	01049GM	DEB	D	IND
PSLV DEB	2001049GN	01049GN	DEB	D	IND
PSLV DEB	2001049GP	01049GP	DEB	D	IND
PSLV DEB	2001049GQ	01049GQ	DEB	D	IND
PSLV DEB	2001049GR	01049GR	DEB	D	IND
PSLV DEB	2001049GS	01049GS	DEB	D	IND
PSLV DEB	2001049GT	01049GT	DEB	D	IND
PSLV DEB	2001049GU	01049GU	DEB	D	IND
PSLV DEB	2001049GV	01049GV	DEB	D	IND
PSLV DEB	2001049GW	01049GW	DEB	D	IND
PSLV DEB	2001049GX	01049GX	DEB	D	IND
PSLV DEB	2001049GY	01049GY	DEB	D	IND
PSLV DEB	2001049GZ	01049GZ	DEB	D	IND
PSLV DEB	2001049HA	01049HA	DEB	D	IND
PSLV DEB	2001049HB	01049HB	DEB	NA	IND
PSLV DEB	2001049HC	01049HC	DEB	D	IND
PSLV DEB	2001049HD	01049HD	DEB	D	IND
PSLV DEB	2001049HE	01049HE	DEB	D	IND
PSLV DEB	2001049HF	01049HF	DEB	D	IND
PSLV DEB	2001049HG	01049HG	DEB	D	IND
PSLV DEB	2001049HH	01049HH	DEB	D	IND
PSLV DEB	2001049HJ	01049HJ	DEB	D	IND
PSLV DEB	2001049HK	01049HK	DEB	D	IND
PSLV DEB	2001049HL	01049HL	DEB	D	IND
PSLV DEB	2001049HM	01049HM	DEB	D	IND
PSLV DEB	2001049HN	01049HN	DEB	D	IND
PSLV DEB	2001049HP	01049HP	DEB	NA	IND
PSLV DEB	2001049HQ	01049HQ	DEB	D	IND
PSLV DEB	2001049HR	01049HR	DEB	D	IND
PSLV DEB	2001049HS	01049HS	DEB	D	IND
PSLV DEB	2001049HT	01049HT	DEB	D	IND
PSLV DEB	2001049HU	01049HU	DEB	D	IND
PSLV DEB	2001049HV	01049HV	DEB	D	IND
PSLV DEB	2001049HW	01049HW	DEB	D	IND
PSLV DEB	2001049HX	01049HX	DEB	D	IND
PSLV DEB	2001049HY	01049HY	DEB	D	IND
PSLV DEB	2001049HZ	01049HZ	DEB	D	IND
PSLV DEB	2001049JA	01049JA	DEB	D	IND
PSLV DEB	2001049JB	01049JB	DEB	D	IND
PSLV DEB	2001049JC	01049JC	DEB	D	IND
PSLV DEB	2001049JD	01049JD	DEB	D	IND
PSLV DEB	2001049JE	01049JE	DEB	D	IND
PSLV DEB	2001049JF	01049JF	DEB	D	IND
PSLV DEB	2001049JG	01049JG	DEB	D	IND
PSLV DEB	2001049JH	01049JH	DEB	D	IND
PSLV DEB	2001049JJ	01049JJ	DEB	D	IND
PSLV DEB	2001049JK	01049JK	DEB	D	IND
PSLV DEB	2001049JL	01049JL	DEB	D	IND
PSLV DEB	2001049JM	01049JM	DEB	D	IND
PSLV DEB	2001049JN	01049JN	DEB	D	IND
PSLV DEB	2001049JP	01049JP	DEB	D	IND
PSLV DEB	2001049JQ	01049JQ	DEB	D	IND
PSLV DEB	2001049JR	01049JR	DEB	D	IND
PSLV DEB	2001049JS	01049JS	DEB	D	IND
PSLV DEB	2001049JT	01049JT	DEB	D	IND
PSLV DEB	2001049JU	01049JU	DEB	D	IND
PSLV DEB	2001049JV	01049JV	DEB	D	IND
INSAT-3C	2002002A	02002A	PAY	-	IND
ARIANE 42L R/B	2002002B	02002B	R/B	NA	FR
PSLV DEB	2001049JW	01049JW	DEB	D	IND
PSLV DEB	2001049JX	01049JX	DEB	D	IND
PSLV DEB	2001049JY	01049JY	DEB	D	IND
PSLV DEB	2001049JZ	01049JZ	DEB	D	IND
PSLV DEB	2001049KA	01049KA	DEB	D	IND
PSLV DEB	2001049KB	01049KB	DEB	NA	IND
PSLV DEB	2001049KC	01049KC	DEB	D	IND
PSLV DEB	2001049KD	01049KD	DEB	D	IND
PSLV DEB	2001049KE	01049KE	DEB	D	IND
PSLV DEB	2001049KF	01049KF	DEB	D	IND
PSLV DEB	2001049KG	01049KG	DEB	D	IND
PSLV DEB	2001049KH	01049KH	DEB	D	IND
PSLV DEB	2001049KJ	01049KJ	DEB	D	IND
